titulo,año,duracion,pais,director,generos,valoracion_media,num_votos,tipo,url,fecha_extraccion,categoria_extraccion,genero_Serie de TV,genero_Thriller,genero_Animación,genero_Intriga,genero_Aventuras,genero_Acción,genero_Romance,genero_Documental,genero_Western,genero_Bélico,genero_Infantil,genero_Drama,genero_Musical,genero_Fantástico,genero_Comedia,genero_Ciencia ficción,genero_Terror,decada
Cónclave,2024,115,No disponible,No disponible,"['Drama', 'Thriller', 'Intriga']",7.0,12967,Película,https://www.filmaffinity.com/es/film159138.html,2025-04-07,Thriller 2024,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020
Marco,2024,98,No disponible,No disponible,"['Drama', 'Thriller']",6.8,5898,Película,https://www.filmaffinity.com/es/film793818.html,2025-04-07,Thriller 2024,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020
Jurado Nº 2,2024,110,No disponible,No disponible,"['Thriller', 'Drama', 'Intriga']",6.8,20553,Película,https://www.filmaffinity.com/es/film775563.html,2025-04-07,Thriller 2024,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020
La virgen roja,2024,114,No disponible,No disponible,"['Drama', 'Thriller']",6.7,12507,Película,https://www.filmaffinity.com/es/film903239.html,2025-04-07,Thriller 2024,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020
Septiembre 5,2024,95,No disponible,No disponible,"['Thriller', 'Drama', 'Intriga']",6.6,2266,Película,https://www.filmaffinity.com/es/film440035.html,2025-04-07,Thriller 2024,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020
A Different Man,2024,112,No disponible,No disponible,"['Thriller', 'Comedia']",6.6,1934,Película,https://www.filmaffinity.com/es/film248862.html,2025-04-07,Thriller 2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020
X-Men '97,2024,30,No disponible,No disponible,"['Serie de TV', 'Animación', 'Acción', 'Ciencia ficción', 'Fantástico']",7.7,2343,Película,https://www.filmaffinity.com/es/film651593.html,2025-04-07,Series de Acción 2024,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2020
Solo Leveling,2024,23,No disponible,No disponible,"['Serie de TV', 'Animación', 'Acción', 'Fantástico']",7.6,1222,Película,https://www.filmaffinity.com/es/film611559.html,2025-04-07,Series de Acción 2024,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020
Kaiju No. 8,2024,22,No disponible,No disponible,"['Serie de TV', 'Animación', 'Acción', 'Fantástico']",7.5,663,Película,https://www.filmaffinity.com/es/film812926.html,2025-04-07,Series de Acción 2024,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020
Kimetsu no Yaiba: Hashira Training Arc,2024,28,No disponible,No disponible,"['Serie de TV', 'Animación', 'Acción', 'Aventuras', 'Fantástico', 'Thriller', 'Drama']",7.2,707,Película,https://www.filmaffinity.com/es/film619412.html,2025-04-07,Series de Acción 2024,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2020
