titulo,año,duracion,generos,valoracion_media,num_votos,tipo,url,fecha_extraccion,categoria_extraccion,genero_Serie de TV,genero_Thriller,genero_Animación,genero_Intriga,genero_Aventuras,genero_Acción,genero_Romance,genero_Documental,genero_Western,genero_Bélico,genero_Infantil,genero_Drama,genero_Musical,genero_Fantástico,genero_Comedia,genero_Ciencia ficción,genero_Terror,decada,generos_list,popularidad,epoca,duracion_cat
Aquella Navidad,2024,90,"['Animación', 'Comedia', 'Drama']",6.2,1080,Película,https://www.filmaffinity.com/es/film733302.html,2025-04-07,Animación 2024,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020,"['Animación', 'Comedia', 'Drama']",Media,Actual,Corto
Cónclave,2024,115,"['Drama', 'Thriller', 'Intriga']",7.0,12967,Película,https://www.filmaffinity.com/es/film159138.html,2025-04-07,Thriller 2024,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,"['Drama', 'Thriller', 'Intriga']",Alta,Actual,Normal
Marco,2024,98,"['Drama', 'Thriller']",6.8,5898,Película,https://www.filmaffinity.com/es/film793818.html,2025-04-07,Thriller 2024,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,"['Drama', 'Thriller']",Alta,Actual,Normal
Jurado Nº 2,2024,110,"['Thriller', 'Drama', 'Intriga']",6.8,20553,Película,https://www.filmaffinity.com/es/film775563.html,2025-04-07,Thriller 2024,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,"['Thriller', 'Drama', 'Intriga']",Muy Alta,Actual,Normal
La virgen roja,2024,114,"['Drama', 'Thriller']",6.7,12507,Película,https://www.filmaffinity.com/es/film903239.html,2025-04-07,Thriller 2024,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,"['Drama', 'Thriller']",Alta,Actual,Normal
Septiembre 5,2024,95,"['Thriller', 'Drama', 'Intriga']",6.6,2266,Película,https://www.filmaffinity.com/es/film440035.html,2025-04-07,Thriller 2024,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,"['Thriller', 'Drama', 'Intriga']",Media,Actual,Normal
A Different Man,2024,112,"['Thriller', 'Comedia']",6.6,1934,Película,https://www.filmaffinity.com/es/film248862.html,2025-04-07,Thriller 2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,"['Thriller', 'Comedia']",Media,Actual,Normal
X-Men '97,2024,30,"['Serie de TV', 'Animación', 'Acción', 'Ciencia ficción', 'Fantástico']",7.7,2343,Serie,https://www.filmaffinity.com/es/film651593.html,2025-04-07,Series de Acción 2024,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2020,"['Serie de TV', 'Animación', 'Acción', 'Ciencia ficción', 'Fantástico']",Media,Actual,Corto
Solo Leveling,2024,23,"['Serie de TV', 'Animación', 'Acción', 'Fantástico']",7.6,1222,Serie,https://www.filmaffinity.com/es/film611559.html,2025-04-07,Series de Acción 2024,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,"['Serie de TV', 'Animación', 'Acción', 'Fantástico']",Media,Actual,Corto
Kaiju No. 8,2024,22,"['Serie de TV', 'Animación', 'Acción', 'Fantástico']",7.5,663,Serie,https://www.filmaffinity.com/es/film812926.html,2025-04-07,Series de Acción 2024,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,"['Serie de TV', 'Animación', 'Acción', 'Fantástico']",Baja,Actual,Corto
Kimetsu no Yaiba: Hashira Training Arc,2024,28,"['Serie de TV', 'Animación', 'Acción', 'Aventuras', 'Fantástico', 'Thriller', 'Drama']",7.2,707,Serie,https://www.filmaffinity.com/es/film619412.html,2025-04-07,Series de Acción 2024,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2020,"['Serie de TV', 'Animación', 'Acción', 'Aventuras', 'Fantástico', 'Thriller', 'Drama']",Baja,Actual,Corto
Tragones y mazmorras,2024,24,"['Serie de TV', 'Animación', 'Comedia', 'Fantástico', 'Acción']",7.1,809,Serie,https://www.filmaffinity.com/es/film407614.html,2025-04-07,Series de Acción 2024,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2020,"['Serie de TV', 'Animación', 'Comedia', 'Fantástico', 'Acción']",Baja,Actual,Corto
The Gentlemen: La serie,2024,55,"['Serie de TV', 'Thriller', 'Acción', 'Comedia']",7.1,8287,Serie,https://www.filmaffinity.com/es/film629037.html,2025-04-07,Series de Acción 2024,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,"['Serie de TV', 'Thriller', 'Acción', 'Comedia']",Alta,Actual,Corto
Comando Monster,2024,22,"['Serie de TV', 'Animación', 'Acción']",7.1,945,Serie,https://www.filmaffinity.com/es/film406091.html,2025-04-07,Series de Acción 2024,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020,"['Serie de TV', 'Animación', 'Acción']",Baja,Actual,Corto
